path,label
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0008_src0008_00038.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0008_src0008_00008.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0008_src0008_00023.jpg,1
data/raw/CASIA2.0_revised/Au/Au_arc_00022.jpg,0
data/raw/CASIA2.0_revised/Au/Au_txt_00034.jpg,0
data/raw/CASIA2.0_revised/Au/Au_txt_00006.jpg,0
data/raw/CASIA2.0_revised/Au/Au_nat_00010.jpg,0
data/raw/CASIA2.0_revised/Au/Au_pla_00004.jpg,0
data/raw/CASIA2.0_revised/Au/Au_pla_00011.jpg,0
data/raw/CASIA2.0_revised/Au/Au_sec_00026.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0012_src0012_00027.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0012_src0012_00012.jpg,1
data/raw/CASIA2.0_revised/Au/Au_art_00002.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00014.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0003_src0003_00018.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0003_src0003_00033.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0003_src0003_00003.jpg,1
data/raw/CASIA2.0_revised/Au/Au_arc_00008.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00021.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0006_src0006_00006.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0006_src0006_00021.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0006_src0006_00036.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0004_src0004_00034.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0004_src0004_00019.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0004_src0004_00004.jpg,1
data/raw/CASIA2.0_revised/Au/Au_arc_00015.jpg,0
data/raw/CASIA2.0_revised/Au/Au_txt_00027.jpg,0
data/raw/CASIA2.0_revised/Au/Au_art_00030.jpg,0
data/raw/CASIA2.0_revised/Au/Au_nat_00024.jpg,0
data/raw/CASIA2.0_revised/Au/Au_txt_00020.jpg,0
data/raw/CASIA2.0_revised/Au/Au_sec_00033.jpg,0
data/raw/CASIA2.0_revised/Au/Au_nat_00017.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0013_src0013_00013.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0013_src0013_00028.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0010_src0010_00010.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0010_src0010_00025.jpg,1
data/raw/CASIA2.0_revised/Au/Au_pla_00025.jpg,0
data/raw/CASIA2.0_revised/Au/Au_arc_00029.jpg,0
data/raw/CASIA2.0_revised/Au/Au_pla_00032.jpg,0
data/raw/CASIA2.0_revised/Au/Au_nat_00031.jpg,0
data/raw/CASIA2.0_revised/Au/Au_art_00037.jpg,0
data/raw/CASIA2.0_revised/Au/Au_art_00016.jpg,0
data/raw/CASIA2.0_revised/Au/Au_pla_00018.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00035.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0011_src0011_00026.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0011_src0011_00011.jpg,1
data/raw/CASIA2.0_revised/Au/Au_nat_00038.jpg,0
data/raw/CASIA2.0_revised/Au/Au_nat_00003.jpg,0
data/raw/CASIA2.0_revised/Au/Au_sec_00019.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00007.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0000_src0000_00015.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0000_src0000_00030.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0000_src0000_00000.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0002_src0002_00032.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0002_src0002_00017.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0002_src0002_00002.jpg,1
data/raw/CASIA2.0_revised/Au/Au_sec_00012.jpg,0
data/raw/CASIA2.0_revised/Au/Au_arc_00036.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00028.jpg,0
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0014_src0014_00029.jpg,1
data/raw/CASIA2.0_revised/Tp/Tp_S_NNN_M_N_src0014_src0014_00014.jpg,1
data/raw/CASIA2.0_revised/Au/Au_arc_00001.jpg,0
data/raw/CASIA2.0_revised/Au/Au_art_00023.jpg,0
data/raw/CASIA2.0_revised/Au/Au_ani_00000.jpg,0
